#,Date Time,Voltage,Current,Rain,Wind Speed,Gust Speed,Wind Direction,Temp,RH,Solar Radiation
151,12-02-21 14:31,-0.1988,0,0,0,0,255.5,2.128,51,116.9
152,12-02-21 14:41,-0.1988,0,0,0,0,268.1,1.643,51.8,75.6
153,12-02-21 14:51,-0.1988,0,0,0,0,251.3,1.425,52.3,66.9
154,12-02-21 15:01,-0.1988,0,0,0,0,227.4,1.751,52.5,71.9
155,12-02-21 15:11,-0.1988,0,0,0,0,247.1,1.071,52.6,58.1
156,12-02-21 15:21,-0.1988,0,0,0,0,285,0.687,53.1,55.6
157,12-02-21 15:31,-0.1988,0,0,0,0,322.9,0.439,55.5,85.6
158,12-02-21 15:41,-0.1988,0,0,0,0,306.1,0.051,56.5,66.9
159,12-02-21 15:51,-0.1988,0,0,0,0,311.7,-0.199,57.2,44.4
160,12-02-21 16:01,-0.1988,0,0,0,0,273.8,-0.591,57.8,44.4
161,12-02-21 16:11,-0.1988,0,0,0,0,242.9,-1.043,57.6,31.9
162,12-02-21 16:21,-0.1988,0,0,0,0,297.6,-1.47,56.8,29.4
163,12-02-21 16:31,-0.1988,0,0,0,0,285,-1.584,56.1,21.9
164,12-02-21 16:41,-0.1988,0,0,0,0,287.8,-2.247,54.6,5.6
165,12-02-21 16:51,-0.1988,0,0,0,0,262.5,-2.654,54.8,3.1
166,12-02-21 17:01,-0.1988,0,0,0,0,297.6,-2.596,52.7,0.6
167,12-02-21 17:11,-0.1988,0,0,0,0,252.7,-2.8,50.4,0.6
168,12-02-21 17:21,-0.1988,0,0,0,0,294.8,-3.006,50.5,0.6
169,12-02-21 17:31,-0.1988,0,0,0,0,272.4,-3.094,50.9,0.6
170,12-02-21 17:41,-0.1988,0,0,0,0,237.3,-3.271,51.4,0.6
171,12-02-21 17:51,-0.1988,0,0,0,0,272.4,-3.36,51.5,0.6
172,12-02-21 18:01,-0.1988,0,0,0,0,252.7,-3.33,51.4,0.6
173,12-02-21 18:11,-0.1988,0,0,0,0,256.9,-3.479,51.5,0.6
174,12-02-21 18:21,-0.1988,0,0,0,0,238.7,-3.627,51.3,0.6
175,12-02-21 18:31,-0.1988,0,0,0,0,248.5,-3.777,52.1,0.6
176,12-02-21 18:41,-0.1988,0,0,0,0,234.5,-3.926,52.6,0.6
177,12-02-21 18:51,-0.1988,0,0,0,0,230.2,-4.408,54.8,0.6
178,12-02-21 19:01,-0.1988,0,0,0,0,230.2,-4.56,56.1,0.6
179,12-02-21 19:11,-0.1988,0,0,0,0,230.2,-4.804,57.4,0.6
180,12-02-21 19:21,-0.1988,0,0,0,0,231.6,-5.11,59.4,0.6
181,12-02-21 19:31,-0.1988,0,0,0,0,280.8,-5.326,60.6,0.6
182,12-02-21 19:41,-0.1988,0,0,0,0,314.5,-5.511,61.2,0.6
